"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"148","Shi2385","Shi2915","Shimoga","29_15",75.567438,13.93932,NA,13200,15100,20700,27800,46600,101695,151783,193028,274352,322428
"149","Tum2215","Tum2918","Tumkur","29_18",77.104711,13.343424,11900,NA,14300,18200,21900,36000,73276,176376,189940,260271,320910
"150","Kar12507","Kar606","Karnal","06_06",76.9889,29.6855,23600,22000,22900,26700,37500,59800,120193,180909,198683,252660,319224
"151","Ana7694","Ana2415","Anand","24_15",72.949872,22.557168,10100,10200,11100,11700,17200,25800,142662,218079,269471,279756,314140
"152","Pur16098","Pur1009","Purnia","10_09",87.4731,25.7695,14100,14800,14200,15500,19100,25100,59188,133118,144585,221992,311295
"153","Sam16081","Sam1019","Samastipur","10_19",85.7794,25.8653,90200,90200,80100,99000,103300,109400,110831,189304,213351,261284,310774
"154","Tha814","Tha3321","Thanjavur","33_21",79.133326,10.790739,57900,60400,60000,66900,68800,100700,124508,223560,245852,274083,309810
"155","Dib18350","Dib1815","Dibrugarh","18_15",94.9283,27.4793,11300,14600,16100,18800,23200,38000,79107,125706,133693,148488,308319
"156","Hab13802","Hab1911","Habra","19_11",88.6602,22.8429,NA,NA,NA,NA,NA,23900,110470,199304,215292,267398,307681
"157","Par5908","Par2717","Parbhani","27_17",76.77021,19.268881,11000,10010,17464,19942,27125,42880,122905,180742,190255,259329,307191
"158","Kha13495","Kha1915","Kharagpur","19_15",87.3324999999999,22.3450999999999,NA,NA,NA,NA,NA,NA,127017,213503,271305,284090,302274
"159","Aiz14411","Aiz1503","Aizawl","15_03",92.716307,23.729441,NA,NA,NA,NA,NA,NA,97500,145721,160300,233737,298350
"160","Son11880","Son608","Sonipat","06_08",77.0171,28.9929,14300,13310,15340,17818,22250,38656,89275,144994,154454,242001,289729
"161","Dew7866","Dew2323","Dewas","23_23",76.0512,22.9658,17050,16830,17700,19942,28750,35712,77936,149876,164364,231672,289438
"162","Hap11677","Hap909","Hapur","09_09",77.77797,28.728921,17800,19200,20400,25200,33800,49300,91245,147218,159811,230354,285816
"163","Fai9916","Fai947","Faizabad","09_47",82.1472,26.7801,71200,54700,56700,65800,57700,82500,93334,160384,186380,243584,285602
"164","Jal6064","Jal2718","Jalna","27_18",75.898276,19.844514,20300,19000,17000,22500,38100,58500,101567,163818,174985,235795,285349
